epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,15253.2,0.63771,0.62414,0.99176,0.32209,0.38336,0.31753,0.19403,1.2225,2.51641,1.52824,0.0001486,0.0001486,0.0001486
88,15400.7,0.65593,0.59563,1.00037,0.4693,0.31269,0.31911,0.19995,1.1965,2.57044,1.53376,0.0001387,0.0001387,0.0001387
89,15548.8,0.67903,0.6465,1.01407,0.35329,0.3978,0.31906,0.19879,1.20746,2.57474,1.53687,0.0001288,0.0001288,0.0001288
90,15694.3,0.61175,0.55981,0.96904,0.32484,0.40354,0.32561,0.19883,1.24961,2.49329,1.57212,0.0001189,0.0001189,0.0001189
91,15838.3,0.60526,0.59236,0.9643,0.30351,0.4084,0.32189,0.19734,1.25978,2.59721,1.57861,0.000109,0.000109,0.000109
92,15983.1,0.59829,0.58826,0.97015,0.28272,0.39069,0.28448,0.1852,1.23211,2.82485,1.55163,9.91e-05,9.91e-05,9.91e-05
93,16132.2,0.57495,0.55481,0.94381,0.36286,0.30147,0.26202,0.16712,1.22069,2.95516,1.55427,8.92e-05,8.92e-05,8.92e-05
94,16276.9,0.54932,0.52318,0.94499,0.37267,0.29769,0.25466,0.161,1.22731,2.92429,1.5677,7.93e-05,7.93e-05,7.93e-05
95,16424.3,0.54457,0.51593,0.94478,0.41867,0.25182,0.27104,0.17029,1.23712,2.8407,1.57401,6.94e-05,6.94e-05,6.94e-05
96,16568.7,0.53859,0.48953,0.92861,0.43856,0.26235,0.29262,0.18247,1.24404,2.81096,1.57419,5.95e-05,5.95e-05,5.95e-05
97,16714.3,0.53079,0.46838,0.92624,0.43472,0.26235,0.29679,0.18721,1.23673,2.77647,1.57474,4.96e-05,4.96e-05,4.96e-05
98,16859.1,0.50165,0.47567,0.90918,0.43221,0.27144,0.29576,0.19067,1.22784,2.68884,1.57426,3.97e-05,3.97e-05,3.97e-05
99,17003.9,0.51492,0.46758,0.92691,0.2732,0.39584,0.30411,0.19896,1.21292,2.64513,1.56925,2.98e-05,2.98e-05,2.98e-05
100,17147.9,0.52598,0.47789,0.92537,0.40737,0.28028,0.30699,0.19972,1.21688,2.64457,1.56648,1.99e-05,1.99e-05,1.99e-05
